iter	Passed	Remaining
406	6685	75447
407	6701	75423
408	6717	75398
409	6733	75382
410	6749	75365
411	6765	75345
412	6782	75326
413	6798	75303
414	6814	75289
415	6831	75272
416	6847	75252
417	6863	75236
418	6880	75222
419	6896	75201
420	6913	75189
421	6928	75166
422	6944	75144
423	6960	75125
424	6977	75109
425	6993	75089
426	7009	75072
427	7026	75054
428	7043	75044
429	7059	75024
430	7074	75000
431	7097	75054
432	7114	75037
433	7139	75109
434	7156	75104
435	7172	75084
436	7189	75067
437	7204	75038
438	7220	75015
439	7236	74995
440	7252	74974
441	7268	74954
442	7284	74931
443	7299	74906
444	7316	74888
445	7332	74865
446	7348	74848
447	7364	74823
448	7380	74802
449	7396	74782
450	7411	74756
451	7428	74740
452	7443	74712
453	7458	74681
454	7475	74671
455	7491	74651
456	7507	74632
457	7523	74611
458	7539	74587
459	7555	74568
460	7571	74549
461	7587	74531
462	7603	74510
463	7619	74491
464	7635	74469
465	7651	74448
466	7667	74426
467	7682	74399
468	7698	74378
469	7714	74354
470	7730	74333
471	7746	74309
472	7761	74285
473	7777	74261
474	7792	74237
475	7808	74215
476	7823	74186
477	7840	74175
478	7857	74157
479	7873	74137
480	7889	74123
481	7905	74105
482	7921	74085
483	7938	74067
484	7953	74043
485	7969	74025
486	7986	74007
487	8002	73988
488	8019	73975
489	8035	73956
490	8054	73968
491	8070	73948
492	8092	73984
493	8110	73979
494	8126	73960
495	8142	73937
496	8159	73925
497	8181	73963
498	8199	73956
499	8214	73932
500	8230	73907
501	8246	73886
502	8261	73863
503	8277	73841
504	8294	73828
505	8310	73805
506	8325	73782
507	8341	73762
508	8357	73737
509	8373	73716
510	8389	73701
511	8405	73682
512	8421	73661
513	8438	73645
514	8453	73622
515	8470	73605
516	8486	73590
517	8502	73571
518	8519	73556
519	8535	73540
520	8551	73515
521	8567	73492
522	8582	73468
523	8598	73450
524	8614	73429
525	8630	73409
526	8646	73389
527	8663	73374
528	8679	73358
529	8694	73331
530	8710	73311
531	8726	73286
532	8742	73271
533	8758	73248
534	8775	73234
535	8790	73214
536	8807	73198
537	8823	73177
538	8838	73153
539	8854	73134
540	8870	73115
541	8886	73088
542	8902	73071
543	8918	73054
544	8934	73029
545	8950	73016
546	8966	72995
547	8982	72975
548	8998	72957
549	9014	72933
550	9029	72910
551	9050	72929
552	9068	72929
553	9085	72912
554	9108	72953
555	9124	72928
556	9139	72904
557	9155	72884
558	9171	72862
559	9191	72876
560	9214	72907
561	9233	72915
562	9248	72890
563	9265	72878
564	9281	72859
565	9297	72832
566	9313	72813
567	9328	72790
568	9344	72771
569	9361	72758
570	9378	72743
571	9394	72726
572	9410	72709
573	9427	72695
574	9443	72677
575	9460	72659
576	9475	72635
577	9491	72615
578	9507	72591
579	9522	72569
580	9538	72548
581	9554	72529
582	9570	72511
583	9586	72492
584	9603	72475
585	9619	72456
586	9635	72440
587	9652	72423
588	9668	72405
589	9684	72387
590	9701	72373
591	9716	72344
592	9732	72325
593	9748	72310
594	9765	72294
595	9780	72274
596	9797	72258
597	9814	72243
598	9830	72223
599	9845	72200
600	9862	72185
601	9877	72160
602	9893	72143
603	9910	72130
604	9925	72106
605	9969	72287
606	10011	72458
607	10043	72547
608	10067	72588
609	10082	72558
610	10096	72525
611	10110	72491
612	10124	72460
613	10139	72427
614	10153	72395
615	10167	72364
616	10185	72357
617	10204	72353
618	10223	72360
619	10240	72344
620	10255	72315
621	10269	72284
622	10284	72256
623	10299	72231
624	10316	72212
625	10331	72191
626	10348	72173
627	10363	72151
628	10379	72128
629	10395	72108
630	10412	72095
631	10428	72076
632	10444	72056
633	10460	72032
634	10476	72012
635	10492	71998
636	10508	71975
637	10524	71958
638	10541	71941
639	10557	71925
640	10574	71906
641	10590	71887
642	10606	71870
643	10622	71850
644	10639	71835
645	10655	71816
646	10671	71794
647	10687	71775
648	10703	71757
649	10720	71744
650	10736	71728
651	10752	71705
652	10768	71684
653	10784	71667
654	10801	71655
655	10818	71637
656	10834	71618
657	10849	71595
658	10866	71578
659	10882	71563
660	10898	71541
661	10914	71523
662	10930	71504
663	10946	71483
664	10963	71465
665	10978	71442
666	10994	71424
667	11010	71403
668	11027	71387
669	11042	71365
670	11064	71385
671	11081	71367
672	11096	71346
673	11112	71324
674	11128	71305
675	11143	71280
676	11159	71261
677	11176	71243
678	11192	71225
679	11208	71209
680	11224	71189
681	11248	71221
682	11268	71227
683	11284	71203
684	11300	71187
685	11316	71165
686	11332	71146
687	11348	71123
688	11363	71103
689	11379	71079
690	11394	71054
691	11409	71029
692	11426	71014
693	11442	70996
694	11458	70977
695	11474	70958
696	11490	70935
697	11506	70917
698	11523	70902
699	11538	70882
700	11555	70862
701	11571	70845
702	11587	70827
703	11603	70809
704	11619	70790
705	11635	70767
706	11651	70747
707	11667	70731
708	11684	70714
709	11699	70693
710	11715	70673
711	11731	70654
712	11747	70635
713	11764	70617
714	11780	70598
715	11796	70580
716	11813	70565
717	11829	70546
718	11844	70524
719	11861	70508
720	11876	70484
721	11892	70464
722	11907	70443
723	11924	70424
724	11940	70408
725	11956	70389
726	11972	70371
727	11989	70356
728	12006	70342
729	12023	70326
730	12039	70310
731	12063	70334
732	12079	70318
733	12095	70300
734	12113	70290
735	12130	70275
736	12146	70260
737	12162	70242
738	12179	70223
739	12194	70202
740	12211	70186
741	12228	70171
742	12244	70154
743	12260	70135
744	12285	70169
745	12306	70174
746	12322	70157
747	12338	70138
748	12354	70120
749	12371	70106
750	12387	70085
751	12403	70067
752	12419	70049
753	12436	70030
754	12452	70014
755	12468	69993
756	12483	69970
757	12499	69948
758	12514	69927
759	12531	69911
760	12547	69891
761	12563	69876
762	12579	69857
763	12595	69836
764	12611	69818
765	12627	69797
766	12643	69779
767	12659	69757
768	12676	69744
769	12692	69727
770	12708	69707
771	12724	69687
772	12741	69672
773	12756	69651
774	12771	69627
775	12788	69610
776	12807	69611
777	12825	69602
778	12841	69581
779	12857	69562
780	12873	69543
781	12889	69524
782	12905	69505
783	12921	69486
784	12937	69466
785	12953	69449
786	12971	69442
787	12987	69421
788	13003	69401
789	13019	69383
790	13035	69364
791	13053	69355
792	13076	69373
793	13092	69351
794	13108	69334
795	13125	69318
796	13140	69296
797	13156	69278
798	13172	69257
799	13188	69238
800	13204	69219
801	13220	69202
802	13236	69181
803	13252	69165
804	13268	69143
805	13284	69125
806	13304	69125
807	13326	69138
808	13347	69144
809	13362	69123
810	13378	69104
811	13395	69086
812	13411	69069
813	13427	69051
814	13443	69032
815	13458	69010
816	13474	68987
817	13490	68968
818	13506	68951
819	13522	68930
820	13538	68911
821	13554	68893
822	13570	68873
823	13586	68857
824	13602	68834
825	13618	68818
826	13634	68799
827	13651	68783
828	13667	68766
829	13683	68746
830	13699	68728
831	13715	68707
832	13731	68688
833	13746	68668
834	13762	68649
835	13779	68632
836	13795	68614
837	13810	68592
838	13826	68571
839	13842	68554
840	13859	68538
841	13874	68515
842	13890	68497
843	13906	68475
844	13922	68460
845	13938	68440
846	13954	68423
847	13970	68404
848	13986	68386
849	14002	68367
850	14019	68351
851	14035	68332
852	14052	68316
853	14073	68325
854	14088	68299
855	14103	68279
856	14120	68264
857	14136	68245
858	14154	68232
859	14169	68212
860	14186	68195
861	14202	68177
862	14218	68159
863	14235	68144
864	14251	68127
865	14268	68112
866	14284	68093
867	14299	68071
868	14315	68050
869	14331	68031
870	14355	68053
871	14375	68051
872	14390	68029
873	14407	68016
874	14424	68000
875	14441	67985
876	14457	67966
877	14472	67946
878	14489	67930
879	14505	67910
880	14520	67889
881	14536	67870
882	14553	67855
883	14569	67838
884	14585	67819
885	14602	67802
886	14618	67783
887	14633	67763
888	14649	67744
889	14665	67725
890	14682	67710
891	14697	67689
892	14713	67667
893	14729	67650
894	14746	67635
